Unnamed: 0,NAMA_PERKIRAAN,Unnamed: 2,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,JUMLAH,Unnamed: 16,Unnamed: 17
,BANK_BJB,,0,0,0,0.0,0,6038500.0,3073600,0,1532400,0,0,0,10644500,,
,BANK BPR,,5000000,0,0,0.0,0,0.0,0,0,0,0,0,0,5000000,,
,photocopy,,0,1285000,0,323250.0,950000,664250.0,0,1611100,1241750,0,0,0,6075350,,
,SEWA KANTIN,,935000,950000,0,700000.0,735000,1900000.0,600000,1900000,2500000,0,0,0,10220000,,
,PENJ  B POKOKP,,85063200,81197800,77621400,75421800.0,75842900,82864800.0,118167550,113107650,120974850,110195100,0,0,940457050,,
,PENJ  B SANDANG,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,,-74279150.0
,DANA SERTAAN,,0,0,0,0.0,0,0.0,0,0,0,54000000,0,0,54000000,,
,REALISASI B POKOK,,24829453,24891500,21468800,14999000.0,31636800,10056000.0,19458500,18730400,23900000,19228800,0,0,209199253,,
,QRIS BNI,,0,0,0,0.0,0,0.0,300000,16210738,10480273,10065600,0,0,37056611,,
,VOUCHER pinjaman,,7700000,9550000,11125000,11500000.0,10570000,8445000.0,7200000,11600000,7300000,3500000,0,0,88490000,,
,,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,,
,RETURN BRG POKOK,,1249655,1141728,703900,162640.0,8339200,400328.0,206201,26000,143846,460500,0,0,12833998,,
,HUTANG TOKO,,0,46000000,0,0.0,0,0.0,0,0,0,12367000,0,0,58367000,,
,BINGKISAN,,281250000,0,0,0.0,0,0.0,0,0,0,0,0,0,281250000,,
,VARIAN,,0,0,0,0.0,0,0.0,0,0,800,0,0,0,800,,
,,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,,
,,,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,,
,,,406027308,165016028,110919100,103106690.0,128073900,110368878.0,149005851,163185888,168073919,209817000,0,0,1713594562,,
,,,0,2014900,1249563,,0,0.0,0,0,82854,0,0,55650883,0,,
,,,406027308,167030928,112168663,,0,4299100.0,0,0,168156773,0,0,4929533,0,,
,,,3131281,49860600,105061850,26375780.0,0,,137626050,0,29215909,0,125000,-800000,0,,
,,,409158589,115155428,0,,-5704950,,0,0,-138940864,0,0,-5729533,-550,,
,,,370895031,0,0,0.0,0,0.0,-1592500,0,0,0,0,0,0,,
,,,38263558,0,119696200,0.0,0,0.0,0,0,0,0,0,0,0,,
,,,-367763750,0,66000000,0.0,66,0.0,0,0,0,0,0,0,0,,
,,,-367763750,0,53696200,0.0,0,0.0,0,0,0,0,0,0,0,,
